date,playTitle,authorName,originalTitle,originalAuthorName
1749-07-28,Leeuwendaal hersteld door de vrede; zinnespel,"Pater, Lucas",,
1749-07-31,Leeuwendaal hersteld door de vrede; zinnespel,"Pater, Lucas",,
1749-08-02,Leeuwendaal hersteld door de vrede; zinnespel,"Pater, Lucas",,
1749-08-04,Leeuwendaal hersteld door de vrede; zinnespel,"Pater, Lucas",,
1749-08-07,Leeuwendaal hersteld door de vrede; zinnespel,"Pater, Lucas",,
1749-08-09,Leeuwendaal hersteld door de vrede; zinnespel,"Pater, Lucas",,
1749-08-11,Leeuwendaal hersteld door de vrede; zinnespel,"Pater, Lucas",,
1749-08-14,Leeuwendaal hersteld door de vrede; zinnespel,"Pater, Lucas",,
1749-08-16,Leeuwendaal hersteld door de vrede; zinnespel,"Pater, Lucas",,
1749-08-18,Leeuwendaal hersteld door de vrede; zinnespel,"Pater, Lucas",,
1749-08-21,Leeuwendaal hersteld door de vrede; zinnespel,"Pater, Lucas",,
1749-08-23,Leeuwendaal hersteld door de vrede; zinnespel,"Pater, Lucas",,
1749-08-25,Leeuwendaal hersteld door de vrede; zinnespel,"Pater, Lucas",,
1749-08-28,Leeuwendaal hersteld door de vrede; zinnespel,"Pater, Lucas",,
1749-09-01,Leeuwendaal hersteld door de vrede; zinnespel,"Pater, Lucas",,
1749-09-04,Leeuwendaal hersteld door de vrede; zinnespel,"Pater, Lucas",,
1749-09-08,Leeuwendaal hersteld door de vrede; zinnespel,"Pater, Lucas",,
1749-09-11,Leeuwendaal hersteld door de vrede; zinnespel,"Pater, Lucas",,
1749-09-13,Leeuwendaal hersteld door de vrede; zinnespel,"Pater, Lucas",,
1749-09-15,Leeuwendaal hersteld door de vrede; zinnespel,"Pater, Lucas",,
1749-09-18,Leeuwendaal hersteld door de vrede; zinnespel,"Pater, Lucas",,
1749-09-20,"Elektra, treurspel [by Malfait]","Malfait (de jonge), Philip",Électre,"Crébillon, Prosper Jolyot de"
1749-09-22,Leeuwendaal hersteld door de vrede; zinnespel,"Pater, Lucas",,
1749-09-23,De beklaaglyke dwang,"Vos, Isaac",La fuerza lastimosa,"Lope de Vega y Carpio, Félix"
1749-09-23,De beklaaglyke dwang,"Baroces, Jacob",La fuerza lastimosa,"Lope de Vega y Carpio, Félix"
1749-09-24,"Spaensche heidin, a.k.a. Het leven van Konstance [by Matt. Tengnagel]","Tengnagel, Mattheus Gansneb",La gitanilla de Madrid,"Cervantes y Saavedra, Miguel de"
1749-09-25,"De stantvastige Genoveva, ofte Herstelde onnooselheyt. Bly-eyndend-treurspel","Wouthers, Anthoon Frans","Genevieve, ou l'Innocence reconnue","d'Aure, Francois"
1749-09-26,Jodelet. Of de knecht meester en de meester knecht. Blijspel,"Commelin, Johannes","Jodelet, ou le Maitre valet","Scarron, Paul"
1749-09-27,"Sophonisba, treurspel","Haps, Pieter Willem van",,
1749-09-29,"De toveryen van Armida, of het belegerde Jeruzalem, treurspel","Peys, Adriaen",,
1749-09-30,"De toveryen van Armida, of het belegerde Jeruzalem, treurspel","Peys, Adriaen",,
1749-10-01,"Don Louis de Vargas, of Edelmoedige wraek","Heynck, Dirk Pietersz",El tejedor de Segovia,"Ruiz de Alarcón y Mendoza, Juan"
1749-10-02,"Veranderlyk geval, of Stantvastige liefde","Baroces, Jacob",Mudanzas de la fortuna y firmezas del amor,"Monroy y Silva, Cristóbal de"
1749-10-02,"Veranderlyk geval, of Stantvastige liefde","Heynck, Dirk Pietersz",Mudanzas de la fortuna y firmezas del amor,"Monroy y Silva, Cristóbal de"
1749-10-03,Beleg en ontset der stadt Leyden,"Bondt, Reinier de",,
1749-10-04,Beleg en ontset der stadt Leyden,"Bondt, Reinier de",,
1749-10-06,Beleg en ontset der stadt Leyden,"Bondt, Reinier de",,
1749-10-09,Beleg en ontset der stadt Leyden,"Bondt, Reinier de",,
1749-10-11,Beleg en ontset der stadt Leyden,"Bondt, Reinier de",,
1749-10-13,Beleg en ontset der stadt Leyden,"Bondt, Reinier de",,
1749-10-16,Beleg en ontset der stadt Leyden,"Bondt, Reinier de",,
1749-10-18,"Mithridates, koning van Pontus, enz. Treur-spel","Arents, Thomas",Mithridate,"Racine, Jean"
1749-10-20,"De burgerlyke edelman, blyspel","Maas, Hendr. (Toneelvertaler)",Le bourgeois gentilhomme,"Molière (ps. Poquelin, Jean Baptiste)"
1749-10-27,"Sigismundus, prince van Polen, of 't Leven is een droom. Bly-eyndigh treur-spel","Schouwenbergh, NN",La vida es sueño,"Calderón de la Barca, Pedro"
